objectid,title,creator,author,date,display_date,description,subject,location,latitude,longitude,source,object_location,rights,type,format
1988-25-03_danger,"Danger, monumento a la tenacidad",Periódico El Mundo,Anónimo,25/03/1988,mediados de los 80s,"El Artículo retrató la lucha y tenacidad del grupo de ultrametal Danger de Medellín como emblemática de la escena underground colombiana. Formado originalmente en 1982 bajo el nombre Black Snow durante el apogeo del heavy metal, el grupo, liderado por Antonio Calao, se caracterizó por su origen humilde, construyendo sus propios instrumentos y financiando su proyecto mediante rifas y venta de boletas, sin apoyo institucional. Influenciados por bandas como Exodus, Slayer y Metallica, Danger adoptó un sonido orientado al ultrametal con letras de crítica social, reflejando la realidad de una juventud urbana marginalizada. El texto criticó la desconexión de las escuelas de música tradicionales y la industria discográfica, que ignoraban estas expresiones contemporáneas, y destacó la preparación del grupo para lanzar su primer sencillo, ""Las Brujas De Salem"" y ""El Inconforme"", bajo el sello independiente Faster Producciones, como acto de resistencia cultural y reivindicación de un movimiento rock autogestionado y genuino.",Black Angel; Exodus; Slayer; Metallica; Medellín; Batalla de las Bandas; rock colombiano; Rock Nacional; Danger; Ultrametal; Medellín; Underground; Autogestión; Crítica social; Antonio Calao; Faster Producciones; Heavy metal; Resistencia cultural; Juventud; Industria discográfica.,"Medellín, Colombia",6.251.840,-75.563.590,Periódico El Mundo pág. 4B,No aplica,Derechos periódico El Mundo,Image,image/jpeg
1989-08-25_anconcantidadycalidad,Ancón: cantidad y calidad,Periódico El Colombiano,La Supersónik,25/08/1989,25 de agosto de 1989,"Crónica sobre el concierto ""Ancon: cantidad y calidad"", publicado el 25 de agosto de 1989, reseñó el concierto ""El Concierto de la Independencia"" realizado en la plaza de toros La Macarena de Medellín, evento que reunió a siete bandas de rock colombianas en una maratón musical de más de ocho horas. A pesar de un retraso inicial de dos horas, el evento comenzó a las 5:00 p.m. y se extendió hasta la 1:30 a.m., con asistencia de aproximadamente tres mil personas. La noche abrió con Eres (Medellín), que interpretó música de los años 60; seguido por Fénix, banda de los 70 que rindió homenaje a clásicos de Black Sabbath y Deep Purple; y Aferta Roja (Bogotá), cuyo pop rock generó una recepción discordante. Krakens (antioqueño) fue el grupo más esperado y tras su presentación una parte del público se retiró. El clímax llegó con Kroneo (Cali), que cautivó al público con su heavy metal profesional y versiones de Metallica y Guns N' Roses, incluyendo un momento destacado con la colaboración de vocalistas de otras bandas. Aunque la lluvia y problemas logísticos obligaron a cancelar la presentación de Escape (Bogotá), el concierto fue considerado un éxito artístico que demostró la madurez y calidad del rock hecho en Colombia. El artículo destaca la calidad interpretativa, la organización técnica y el entusiasmo del público, así como la creciente fuerza del movimiento rockero en Medellín a finales de los años ochenta.",Ancón; Medellín; Plaza de Toros La Macarena; Eros; Fénix; Alerta Roja; Kronos; conciertos de rock; heavy metal colombiano; cultura rock paisa; festivales de rock en Colombia; Concierto de rock; Medellín; Bandas nacionales; Kraken; Kronos; Heavy metal; Rock colombiano; Independencia; Festivales.,"Medellín, Plaza de Toros La Macarena",6.244.444,-75.578.611,Periódico El Colombiano pág. 5B ,No aplica,Derechos periódico El Colombiano,Image,image/jpeg
1995-05-27_bogotavivesuwoodstock,Bogotá vive su Woodstock,Periódico El Tiempo,Marisol Botero,27/05/1995,27 de mayo de 1995,"Artículo sobre la primera edición del festival Rock al Parque en Bogotá, Este artículo celebra el inicio del Encuentro de Rock al Parque en Bogotá, comparándolo con el mítico Woodstock por su escala, energía y carácter gratuito. Con la participación de 62 bandas en cuatro escenarios durante 37 horas el evento se presenta como una manifestación masiva de cultura juvenil y diversidad sonora. La fotografía del pogo en el parque El Tunal y la sección sobre seguridad, que menciona la presencia de escoltas, policía y servicios médicos, refuerzan la dimensión colectiva y el esfuerzo institucional detrás del festival. El texto construye una narrativa de legitimación del rock como expresión pública, donde el parque se transforma en espacio de encuentro, resistencia y celebración. El artículo también sugiere que el festival marca un antes y un después en la historia del rock colombiano, al convertirlo en política cultural y experiencia ciudadana.",Rock Al Parque; Bogotá; Parque Simón Bolívar; Rock Colombiano; Festivales Musicales; Cultura Rock; Juventud; Woodstock; Música En Vivo; Conciertos Gratuitos; Políticas Culturales; Rock Nacional; Encuentro De Rock Al Parque; El Tunal; Bogotá; Pogo; Festival Gratuito; Cultura Juvenil; Seguridad Pública; Prensa Cultural; Woodstock; Música En Vivo; Escena Colombiana,"Bogotá, Parque Simón Bolívar",4.657.222,-74.093.611,Periódico El Tiempo pág. 2-A,No aplica,Derechos periódico El Tiempo,Image,image/jpeg
1985-03-23_festivaldebandas,Festival de Bandas: Rock para todos los gustos,Periódico El Mundo,Anónimo,23/03/1985,23 de marzo de 1985,"Este artículo documenta el Festival de Bandas celebrado en Bogotá en 1985, donde se presentaron diez agrupaciones locales: Sola, Danger, Orgasmic, Parche, Los de la Calle, Los de la Cuadra, Los de la Esquina, Los de Enfrente, Los de Atrás y Los de Arriba, en un evento que celebró la diversidad musical y el entusiasmo juvenil. El texto destaca la importancia del festival como plataforma para la escena emergente del rock colombiano, y menciona su grabación por TVE y transmisión por Stereo y El MUN, lo que refuerza su alcance mediático. Las fotografías de los músicos en acción y los nombres de las bandas, muchos con referencias de barrio, construyen una narrativa de apropiación urbana, donde el rock se convierte en expresión de identidad local y resistencia cultural. El artículo también incluye reflexiones sobre la censura musical, lo que añade una dimensión crítica al contexto del evento.","SPOL; Danger; Clostridrix; Láser; Excalibur; Parabellum; Masacre; Kraken; Medellín; Plaza de Toros La Macarena; Festival de Bandas; Conciertos de rock; Rock colombiano; Metal colombiano; Juventud; Cultura rock paisa; Sola, Danger, Orgasmic, Parche, Los de la Calle, Los de la Cuadra, Los de la Esquina, Los de Enfrente, Los de Atrás, Los de Arriba, Festival de Bandas, TVE, Stereo, El MUN, Bogotá, rock colombiano, censura musical, escena barrial, prensa cultural","Medellín, Plaza de Toros La Macarena",6.244.444,-75.578.611,Periódico El Mundo pág. 5,No aplica,Derechos periódico El Mundo,Image,image/jpeg
1990-11-15_companiailimitada,Colombia: Compañía Ilimitada,Periódico El Siglo,Camilo Álvarez,15/11/1990,15 de noviembre de 1990,"Artículo que destacó el crecimiento del rock colombiano como un fenómeno musical emergente a finales de los ochenta y principios de los noventa, señalando la proliferación y mejora cualitativa de bandas nacionales en diversas capitales del país, así como el lanzamiento de discos locales que comenzaban a sonar en emisoras y tiendas, citando como ejemplos los álbumes de Pasaporte, Kraken, Kronos y Alexis y su Banda Latin Pop. El texto se centró en el inminente lanzamiento de ""Contacto"", el primer larga duración de Compañía Ilimitada, considerada la banda más prestigiosa de Colombia, grabado en Estados Unidos y descrito como un disco variado con diez temas en español que incluían experimentales (""Amigo"", ""Cometas"", ""Contacto""), baladas (""Siempre estaré"", ""A los ojos"", ""La puerta""), pop (""La Calle"", ""Qué sería"") y rock (""Siloé"", ""Finales""). Los integrantes Camilo Jaramillo y Juan Manuel Pulido anunciaron una gira nacional para promover el álbum, reafirmando su confianza en la aceptación del rock en español tras 15 años de trayectoria y esfuerzo por consolidar su propuesta musical. La reseña sitúa al grupo dentro de la ola de bandas que emergieron en los años ochenta y que abrieron espacios para la profesionalización del rock nacional.",Compañía Ilimitada; Camilo Jaramillo; Juan Manuel Pulido; Bogotá; Rock en español; Rock colombiano; Álbum Contacto; Industria musical; Cultura rock; Difusión radial; Rock Nacional; Industria discográfica; Gira nacional; Música en español; Baladas; Pop rock; Trayectoria musical.,"Bogotá, Colombia",4.596.389,-74.081.667,Periódico El Siglo pág. 4C,No aplica,Derechos periódico El Siglo,Image,image/jpeg
1993-09-24_conciertosalpicon,Concierto de... ¡Salpicón!,Periódico El Espectador,Tatiana Muñoz Bahamón y César Monge,24/09/1993,24 de septiembre de 1993,"Crónica sobre la tercera edición del ""Concierto de Conciertos"" en el Polideportivo El Salitre de Bogotá, un evento que reunió a artistas nacionales e internacionales de géneros como rock, pop, balada y merengue. Destacó la paridad en calidad y producción entre los artistas colombianos y extranjeros, y mencionó a los participantes: los españoles Alejandro Sanz y Marcelo Cezán, el venezolano Franco De Vita, el dominicano Wilfrido Vargas, y las bandas colombianas de rock Aterciopelados, con su éxito ""Mejor Gala"", Eklymosis, entonces número uno en listas nacionales, Enantios Verdes y Ex-3, respaldados por músicos experimentados y recién firmados con MTM. El texto enfatizó el crecimiento del rock local y la diversidad de ritmos ofrecidos, subrayando que este evento devolvía a la juventud colombiana un espectáculo de alta envergadura. El artículo describe el evento como un ""salpicón musical"" reflejando la diversidad de gustos de la juventud de la época. Destaca la fuerza de las agrupaciones nacionales y la convivencia entre propuestas locales y extranjeras en un mismo escenario.",Aterciopelados; Ekhymosis; Ex-3; Franco De Vita; Enanitos Verdes; Alejandro Sanz; Marcelo Cezán; Wilfrido Vargas; Bogotá; Conciertos de rock; Rock colombiano; Rock en español; Cultura juvenil; Música latinoamericana; Concierto de Conciertos; Polideportivo El Salitre; Rock colombiano; Música latina; Festival musical; Industria musical.,"Bogotá, Coliseo El Salitre",4.659.444,-74.095.278,Periódico El Espectador pág. 4C,No aplica,Derechos periódico El Espectador,Image,image/jpeg
1988-10-10_nomadadelrock,Nómada del rock,Periódico La Prensa,Eduardo Arias,10/10/1988,10 de octubre de 1988,"Perfil y trayectoria de Carlos Posada, guitarrista, compositor y fundador de Sociedad Anónima en 1986, cuyo viaje musical comenzó en los albores de Compañía Ilimitada (1973) y culminó con el lanzamiento del sencillo ""La causa nacional"" en la discoteca Keeps de Bogotá. Posada, tras 15 años de historia, pasó por la escena rockera bogotana, consolidándose como un defensor del rock en español. El texto destacó su perseverancia y la evolución del rock local, señalando que Sociedad Anónima tenía 18 canciones propias y aspiraba a grabar un disco en febrero de 1989 si el sencillo tenía aceptación. El artículo recorre su trayectoria, marcada por la búsqueda de identidad en la escena rock colombiana, sus exploraciones musicales y su aporte como compositor. La nota sitúa a Posada como un ejemplo de persistencia dentro de la historia del rock en Colombia.|",Carlos Posada; Compañía Ilimitada; Sociedad Anónima; Eduardo Arias; rock colombiano; trayectoria musical; guitarristas; Rock bogotano; Historia del rock Colombiano; Lanzamiento discográfico; Rock en español; Perseverancia musical.,"Bogotá, Colombia",4.596.389,-74.081.667,Periódico La Prensa pág. 20 ,No aplica,Derechos periódico La Prensa,Image,image/jpeg
1993-09-24_loscriollostienenestrella,Los criollos tienen estrella,Periódico El Tiempo,Anónimo,24/09/1993,24 de septiembre de 1993,"Reseña del “Concierto de Conciertos” en Bogotá, donde por primera vez varios grupos colombianos tuvieron una participación destacada junto a artistas internacionales. Entre las bandas nacionales estuvieron EX-3, Zangre Q-Agulada, Ekhymosis, Aterciopelados y Marcelo Cezán. El artículo describe el potencial de la nueva generación de músicos locales, resaltando su disciplina, calidad interpretativa y capacidad de abrir grandes escenarios. Se profundizó en EX-3, un sexteto formado cuatro meses antes pero con integrantes de vasta experiencia: Blue Martínez y Che Rozo (ex Tráfico), Alexei Restrepo (ex Bandida, Malanga), Nacho Plionieta (ex Ship), Iván Stromayor (ex Alerta Roja) y Rubén Darío Morales (ex Rasguño). El grupo, que ya firmó con una disquera para un sencillo con temas como ""Mi verdad"" y una versión de ""Hotel California"", destacó por su potencial compositivo y show en vivo, con Chucho Merchan como productor de su primer larga duración. El texto enfatizó que el rock colombiano, como el vino, ganaba valor con el tiempo.",Ex-3; Zangre Q-Agulada; Ekhymosis; Aterciopelados; Marcelo Cezán; Concierto De Conciertos; Bogotá; Bandas Emergentes; Escena Nacional; Ex-3; Rock Colombiano; Experiencia Musical; Chucho Merchan; Industria Discográfica; Integrantes Veteranos.,"Bogotá, Estadio El Campín",4.646.389,-74.078.611,"Periódico El Tiempo, pág. 14C",No aplica,Derechos periódico El Tiempo,Image,image/jpeg
1988-09-02_descargarock,Descarga Rock en el Pablo Tobón,Periódico El Mundo,Anónimo,02/09/1988,2 de septiembre de 1988,"Nota sobre el concierto de la banda Código de Medellín en el Teatro Pablo Tobón Uribe de Medellín. El artículo destaca la propuesta musical del grupo, su estilo influenciado por el rock de los años ochenta y su capacidad para conectar con el público joven como un ejemplo de la consolidación del rock colombiano con identidad propia. Se menciona la trayectoria de la banda, su formación y el contexto urbano en el que se desarrolla su música. El concierto mostró la evolución del grupo, que tras cambios de nombre y formación se decantó por una fusión de rock y metal, integrado por Óscar Vargas (voz), Pablo Úsuga (bajo), Jaime Sosa (teclados), Elkin Restrepo (guitarra) y un baterista no nombrado. El texto destacó que el grupo compuso canciones inspiradas en la cotidianidad de la juventud medellinense, y que tras un sencillo exitoso ""El Inspector"" y ""Alternativas"", del cual vendieron 2,000 copias, aprovecharon la bonanza del rock en español para grabar un LP con 11 temas originales y versiones de bandas como The Police y The Cure.","Código; Teatro Pablo Tobón Uribe; Medellín; rock colombiano; conciertos en vivo; estética urbana; prensa musical; años ochenta; cultura juvenil; Rock Nacional; Metal Colombiano; Rock en español; Sencillo ""El Inspector""; Identidad rockera; Fusión musical; Juventud; Industria independiente; Rock Colombiano","Medellín, Teatro Pablo Tobón Uribe",6.248.611,-75.567.778,Periódico El Mundo pág. 1B,No aplica,Derechos periódico El Mundo,Image,image/jpeg
1993-10-15_confesionesproductor,Confesiones de un productor,Periódico La Prensa,Anónimo,15/10/1993,15 de octubre de 1993,"Perfil del productor musical Federico López, figura clave en el desarrollo y escena del rock colombiano de los años 90 en Medellín, es reconocido por su trabajo con bandas como Estados Alterados, Kraken, Juanita Dientes Verdes, Masacre, Perdibacia y Ediciones. El artículo resalta su influencia en la consolidación de una escena local con identidad propia. Se abordan aspectos técnicos de la producción musical, así como el papel de López como mediador entre la creatividad artística y la industria. En una entrevista realizada en Bogotá, López destacó su motivación para dedicarse a la producción, la falta de profesionales en el medio y su enfoque en colaborar con bandas para elevar la calidad técnica y artística del rock local. Criticó los discos compilados impulsados por emisoras bogotanas por no apostar por proyectos individuales, y enfatizó la ventaja colaborativa de Medellín, donde grupos de distintos géneros se apoyaban mutuamente. Mencionó su interés por fusionar sonidos contemporáneos, sintetizadores, guitarras, con ritmos étnicos oscuros como el mapalé o la cumbia del Chocó, y reveló detalles del próximo álbum de Kraken, ""Piel de Color"", coproducido con Ken. El artículo también incluyó una nota sobre el lanzamiento de ""Bajo el Sol"" de Compañía Ilimitada, producido con Andrea Oliphant (ex Rolling Stones), que combinaba temas antiguos con tres nuevas canciones.",Federico López; Estados Alterados; Kraken; Juanita Dientes; Medellín; producción musical; Rock Nacional; Rock Colombiano; industria musical; Rockolombia; prensa especializada;Producción discográfica; Fusión musical; Tecnología de audio; Industria musical; Colaboración artística; Compañía Ilimitada; Andrea Oliphant.,"Medellín, Colombia",6.251.840,-75.563.590,Periódico La Prensa pág. 6,No aplica,Derechos periódico La Prensa,Image,image/jpeg
1991-08-02_mascaras,Máscaras,Periódico El Tiempo,Diana Calderón y Andrés Zambrano,08/02/1991,8 de febrero de 1991,"Artículo que explora la propuesta artística de Compañía Ilimitada en el año 1991, destacando su estética visual y conceptual. A través de una composición gráfica con elementos simbólicos como una iglesia, pétalos de rosa y una serpiente, se presenta una reflexión sobre la identidad del grupo y su lugar en la escena del rock colombiano. 
 Así mismo, el artículo anunció el regreso de Compañía Ilimitada con su nuevo álbum ""Máscaras"", editado bajo el sello CBS Sony Music, que incluyó temas conocidos como ""Cae"" y ""Estado Inmóvil"" y nuevos lanzamientos como ""Atrapado"" e ""Himno a la nación"". El dúo (Juancho y Piyo) planeaba una gira nacional y presentaciones en Venezuela y Estados Unidos, con la meta ambiciosa de vender 15,000 copias y combatir la preferencia del público por artistas extranjeros. La producción, totalmente autogestionada, contó con colaboraciones de músicos colombianos como los guitarristas Sergio Vazino y Hernando Becerra, y el saxofonista Antonio Grago, y fue grabada en el Estudio del Lago de Oz (Bernardo Rosa). El diseño conceptual y gráfico estuvo a cargo de Pypo y el equipo de Primisa Gráfica, reafirmando el control creativo del grupo sobre su obra.","Compañía Ilimitada; Máscaras; Estética Visual; Rock Colombiano; Arte Gráfico; Identidad Musical; Cultura Rock; Diana Calderón; Andrés Zambrano; Rock Nacional; Compañía Ilimitada; Álbum ""Máscaras""; Cbs Sony Music; Gira Nacional; Autogestión; Músicos Colombianos; Bernardo Rosa; Industria Discográfica.","Bogotá, Colombia",4.596.389,-74.081.667,Periódico El Tiempo,No aplica,Derechos periódico El Tiempo,Image,image/jpeg
1993-12-21_cronicailimitada,Crónica ilimitada,Revista Semana,Anónimo,21/12/1993,21 de diciembre de 1993,"Artículo dedicado a la trayectoria de Compañía Ilimitada, centrado en su evolución musical y lírica. Se destaca el lanzamiento de ""Crónica bajo el sol"", una producción que resume su historia y reafirma su estilo pop-rock que funcionó como una retrospectiva de los 15 años de carrera del dúo integrado por Juancho y Piyo. El álbum combinó clásicos de su repertorio pop-rock como ""La Calle"", ""Siloé"", en la versión producida por Andrew Oldham, ""Contacto"", ""Crystina"" y ""Atrapado"", junto a baladas como ""Siempre estaré"", ""Cae"" y ""Última luz"", además de tres nuevas canciones: ""Bajo el sol"", pop latino similar a ""Estado inmóvil"", ""Punto neutro"", fusión rock-pop y ""Cómo decirte"", rock colombiano contemporáneo. El disco incluyó también una versión de Cat Stevens en español, y se conceptualizó como un trabajo de transición para proyectar la banda internacionalmente, reafirmando su estatus como el grupo con mayor trayectoria en el pop-rock colombiano. La nota incluye una revisión de su discografía, con temas como ""Contacto"", ""Ni un minuto más de dolor"", ""Cómplices"" y ""Atrapado"". Se resalta su identidad sonora única en el panorama colombiano.",Evolución musical; cultura rock; Rock Nacional; Compañía Ilimitada; Álbum Crónica bajo el sol; Pop-rock colombiano; Retrospectiva; Andrew Oldham; Compact disc; Proyección internacional; Fusión musical; Rock Colombiano,"Bogotá, Colombia",4.596.389,-74.081.667,,No aplica,Derechos Revista  Semana,Image,image/jpeg
1988-09-03_esplendordelrock,"El rock, limpia, brilla y da esplendor",Periódico La Prensa,Miguel Silva,03/09/1988,3 de septiembre de 1988,"Artículo que analiza el proceso de legitimación del rock colombiano en los años ochenta como fenómeno cultural y generacional en Colombia, destacando su evolución desde ser perseguido y asociado con violencia hasta su legitimación gracias al auge del rock en español. Mencionó la visita de bandas internacionales como Soda Stereo, Hombres G, y Barón Rojo, y el crecimiento de grupos colombianos como Compañía Ilimitada, que grabó en Miami para CBS, y escenas locales en Bogotá como los bares de la calle 82 y Medellín como bares temáticos para punks, new wave, etc. Criticó la incomprensión generacional y el prejuicio de los mayores, comparándolo con la aceptación política del rock en España, con Tierno Galván, y su poder unificador en Latinoamérica. El texto también reflexionó sobre la diversidad subgenérica de punk y metal y la ironía de que bandas como Sex Pistols, creadoras de ""música basura"", vendieran millones, augurando un futuro similar para el rock colombiano. Se discute el papel de los medios en la difusión del género y cómo el rock se convirtió en una expresión artística con impacto social, estético y generacional. Así mismo, destaca su crecimiento, diversidad y consolidación como expresión cultural. Se mencionan las bandas Colombianas Pasaporte, Estados Alterados, Hora Local, Compañía Ilimitada, Polvo de Indio, La Pestilencia, Kronos, que representan distintas vertientes del género, desde lo electrónico hasta lo punk. El texto analiza el papel de los medios de comunicación, especialmente la radio, en la difusión del rock, y reflexiona sobre la mezcla de estilos que caracteriza la escena nacional.

","Compañía Ilimitada; legitimación cultural; medios de comunicación; años ochenta; Rock Nacional; Rock colombiano; Rock en español; Fenómeno generacional; Escenas locales; Incomprensión cultural; Industria musical; Globalización; Pasaporte, Estados Alterados, Hora Local, Compañía Ilimitada, Polvo de Indio, La Pestilencia, Kronos, rock colombiano, medios de comunicación, radio, prensa cultural","Bogotá, Colombia",4.596.389,-74.081.667,Periódico La Prensa pág. 13,No aplica,Derechos periódico La Prensa,Image,image/jpeg
1992-12-07_visosrock,"Visos de Pink Floyd, The Who y Roxy Music",Periódico La Prensa,Daniel Casas C.,07/12/1992,7 de diciembre de 1992,"Crónica sobre el concierto realizado en Cali, Colombia con la participación de David Gilmour de Pink Floyd, Roger Daltrey de The Who y Phil Manzanera de Roxy Music. El artículo destaca la calidad musical del evento, la interpretación de clásicos como “Comfortably Numb” y “Baba O’Riley”, y la conexión emocional con el público. Se resalta la influencia de bandas como Pink Floyd, The Who y Roxy Music en la escena musical colombiana, y se posiciona el evento como uno de los más memorables del país. El evento reunió a aproximadamente tres mil personas y fue calificado como uno de los mejores conciertos en la historia del país. El músico colombiano Chucho Merchan participó como bajista y presentó temas de su producción solista, mientras la cantante colombiana Ana María Vélez interpretó una canción como acto de apertura. El artículo enfatizó la importancia cultural de este evento para Colombia y la calidad excepcional de la producción musical.",David Gilmour; Phil Manzanera; Roger Daltrey; Pink Floyd; The Who; Roxy Music; conciertos internacionales; rock clásico; Bogotá; cultura musical; Rock Internacional; Concierto internacional; Cali; Chucho Merchan; Ana María Vélez; Rock histórico; Rock Nacional,"Bogotá, Estadio El Campín",4.646.389,-74.078.611,Periódico La Prensa pág. 10,No aplica,Derechos periódico La Prensa,Image,image/jpeg
1988-09-11_contactorock,"Uno, dos, tres... contacto con el rock",Periódico La Prensa,Anónimo,11/09/1988,11 de septiembre de 1988,"Entrevista con Camilo Jaramillo y Juan Manuel Pulido, integrantes de Compañía Ilimitada, con motivo del lanzamiento de su primer álbum Contacto grabado en Miami. Los músicos explicaron su transición de cantar en inglés a español y describieron el proceso de producción del disco con músicos internacionales. Hablaron sobre su participación en el Concierto de la Armonía y el impacto de su canción María en el público colombiano. La entrevista profundizó en la evolución de la banda desde sus presentaciones en colegios hasta su consolidación profesional, destacando los desafíos del rock colombiano y las expectativas frente al auge del rock en español. El artículo incluyó detalles sobre los músicos de apoyo para sus presentaciones en vivo y la visión futura del grupo dentro de la industria musical.",Compañía Ilimitada; pop-rock colombiano; historia del rock; Bogotá; conciertos; entrevistas; cultura juvenil; prensa musical; Rock Nacional; Álbum Contacto; Entrevista; Rock bogotano; Producción musical; Concierto de la Armonía; Transición inglés-español; Industria discográfica; Rock en español; Rock Colombiano,"Bogotá, Colombia",4.596.389,-74.081.667,Periódico La Prensa pág. 30,No aplica,Derechos periódico La Prensa,Image,image/jpeg
3-02-1989_rockenespanol,Vuelve el rock en español,Periódico El Mundo,Anónimo,03/02/1989,3 de febrero de 1989,"Nota sobre el concierto en el Coliseo Cubierto de Bedout en Medellín organizado por la Corporación Paz Juventud Año 2000. El evento presentó a bandas de rock en español como los antioqueños Kraken y Código, los bogotanos Compañía Ilimitada y Pasaporte, y el grupo argentino Alcohol Etílico. El concierto tuvo como objetivo promover actividades culturales para la juventud mediante talleres y espectáculos musicales. Las boletas se vendieron en cuatro precios diferentes entre mil y cuatro mil pesos, disponibles en el Centro de Convenciones, el Hotel Nutibara, el Restaurante Mondongos y la emisora Superestereo. El artículo destacó el crecimiento del rock en español como fenómeno musical dominante entre la juventud colombiana.",Compañía Ilimitada; Pasaporte; rock en español; conciertos; paz y juventud; Bogotá; cultura juvenil; Coliseo El Campín; música como expresión; Rock Nacional; Rock en español; Medellín; Kraken; Alcohol Etílico; Juventud; Corporación Paz Juventud.,"Bogotá, Coliseo Cubierto El Campín",4.646.056,-74.078.139,Periódico El Mundo pág. 9A,No aplica,Derechos periódico El Mundo,Image,image/jpeg
1993-13-08_vuelveyjuega,Vuelve y juega Compañía Ilimitada,Periódico El Espectador,Anónimo,13/08/1993,13 de agosto de 1993,"Artículo que anuncia el regreso de Compañía Ilimitada a los escenarios, con nuevo álbum y renovadas presentaciones. Se destaca el papel de Juancho y Piyo como líderes del grupo, encargados de mantener su legado musical. El texto incluye una sección de crítica titulada “Punto Neutro”, donde se evalúan aspectos como sonido, imagen y letras. La nota refleja el interés mediático por la evolución de la banda y su impacto en el panorama del rock colombiano. Destacó la continuidad y relevancia del dúo bogotano Compañía Ilimitada como el grupo más representativo del rock colombiano a pesar de la emergencia de nuevas agrupaciones. Juancho y Pypo se encontraban preparando su tercer álbum discográfico, el cual sería lanzado en formato compact disc bajo el sello Sony. Este trabajo incluiría una recopilación de sus mayores éxitos como Siloé, La Calle, Contacto y Siempre Estaré, junto con cuatro nuevos temas, entre los cuales se destacaba un cover de un éxito del rock colombiano de los años sesenta que serviría como carta de presentación. Tras sus anteriores producciones Contacto y Máscaras, el grupo planeaba una gira internacional para promocionar el álbum y consolidar su posicionamiento tanto en Colombia como en el exterior. El artículo incluyó la letra de su nuevo tema Punto Neutro y enfatizó la responsabilidad de la banda como pioneros en guiar a las nuevas generaciones del rock nacional.",Compañía Ilimitada; Juancho; Piyo; regreso musical; crítica musical; prensa especializada; Rock Nacional; Bogotá; imagen artística; letras; sonido,"Bogotá, Colombia",4.596.389,-74.081.667,Periódico El Espectador pág. 4C,No aplica,Derechos periódico El Espectador,Image,image/jpeg
1991-05-17_informationsociety,Un trío en contravía,Periódico El Tiempo,Andrés Zambrano D.,17/05/1991,17 de mayo de 1991,"Crónica sobre la llegada de la banda estadounidense Information Society a Bogotá, con presentación en el Estadio El Campín. Se resalta la figura de Kurt Valaquen como líder creativo, y se incluyen imágenes de los integrantes en un entorno urbano y colorido. La nota analiza el impacto de la banda en el público colombiano y su influencia en la escena musical local y construye una narrativa de innovación y conexión global, donde el concierto en El Campín se convierte en símbolo de apertura cultural y modernidad musical.",Information Society; Kurt Valaquen; Paul Robb; James Cassidy; Synth-Pop; Bogotá; Conciertos Internacionales; Rock En Río; Cultura Pop; Rock Internacional; Rock Internacional En Colombia,"Bogotá, Estadio El Campín",4.646.389,-74.078.611,"Periódico El Tiempo, pág. 6",No aplica,Derechos periódico El Tiempo,Image,image/jpeg
1988-09-18_unasolavoz,Una sola voz llenó El Campín,Periódico El Espectador,Anónimo,18/09/1988,18 de septiembre de 1988,"Artículo sobre el Concierto de Conciertos en el Estadio El Campín, donde miles de asistentes organizados en barras, coros y agrupaciones espontáneas,— se unieron en una experiencia sonora colectiva que desbordó lo musical para convertirse en acto simbólico. El texto describe con detalle la entrada de las guitarras y tambores, el uso de bengalas naranjas en las tribunas, la disposición del coro y la dirección musical, y la manera en que el público emocionado, coordinado, vibrante, cantó al unísono, generando una atmósfera de comunión y pertenencia. Las secciones complementarias m lLas barras del concierto, 1ué fue de los punks, amplían el análisis hacia las dinámicas sociales del evento, revelando tensiones entre estilos, identidades y formas de participación. El artículo construye una narrativa de monumentalidad emocional, donde El Campín se transforma en escenario de una voz única que representa tanto la diversidad como la unidad del rock colombiano y enfatiza el poder de la música como lenguaje colectivo.","conciertos masivos; Bogotá; El Campín; música coral; participación ciudadana; cultura musical; expresión colectiva; Rock Nacional; El Campín, Bogotá, concierto masivo, barras musicales, coro colectivo, dirección musical, bengalas naranjas, Las barras del concierto, rock colombiano, experiencia sonora, participación colectiva","Bogotá, Estadio El Campín",4.646.389,-74.078.611,Periódico El Espectador pág. 1A y 15A,No aplica,Derechos periódico El Espectador,Image,image/jpeg
1992-12-1_gunsnroses,Un concierto que finalmente terminó aguado,Periódico El Siglo,Anónimo,01/12/1992,1 de diciembre de 1992,"Crónica del concierto de Guns N' Roses en Bogotá, afectado por la lluvia que obligó a suspender el evento tras hora y media de presentación, justo durante la interpretación de November Rain, aunque el grupo logró interpretar dos canciones más incluyendo Don't Cry antes de concluir a las 12:30 a.m. El artículo destacó el buen comportamiento del público estimado en cincuenta mil personas y mencionó la ausencia no explicada del grupo colombiano Kronos como telonero. Pese a los inconvenientes, se resaltó la energía escénica de Axl Rose y el desempeño musical de Slash, Duff McKagan y Matt Sorum. Así mismo, describe la llegada de la banda, la logística del evento, los problemas técnicos, la reacción del público y la frustración por la interrupción. Refleja el impacto de los conciertos internacionales en Colombia y los desafíos de su organización,",Guns N' Roses; Axl Rose; conciertos internacionales; Bogotá; lluvia; logística de eventos; cultura rock; Rock Internacional,"Bogotá, Estadio El Campín",4.646.389,-74.078.611,Periódico El Nuevo Siglo pág. 7B,No aplica,Derechos periódico El Siglo,Image,image/jpeg
